,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Camden,2006,E09000007,207.0,123.0,84.0,20.0,18.0,2.0,,,64.0,5.0,25.0,6.0,3.0,13.0,3.0,35.0,14.0,3.0,7.0,7.0,3.0
Camden,2007,E09000007,208.0,126.0,82.0,22.0,18.0,3.0,,1.0,60.0,2.0,24.0,7.0,4.0,9.0,4.0,34.0,15.0,2.0,7.0,5.0,5.0
Camden,2008,E09000007,207.0,124.0,82.0,26.0,23.0,2.0,,1.0,56.0,2.0,22.0,7.0,6.0,6.0,3.0,32.0,13.0,2.0,6.0,6.0,5.0
Camden,2009,E09000007,210.0,124.0,86.0,27.0,20.0,4.0,,3.0,59.0,5.0,27.0,8.0,5.0,9.0,4.0,27.0,13.0,1.0,6.0,4.0,4.0
Camden,2010,E09000007,212.0,134.0,78.0,29.0,23.0,4.0,,1.0,49.0,4.0,17.0,4.0,3.0,8.0,3.0,27.0,11.0,1.0,7.0,3.0,5.0
Camden,2011,E09000007,218.0,133.0,81.0,23.0,19.0,2.0,,1.0,59.0,5.0,24.0,5.0,3.0,12.0,4.0,30.0,13.0,1.0,8.0,3.0,3.0
Camden,2012,E09000007,223.0,127.0,95.0,20.0,15.0,4.0,,,75.0,9.0,34.0,10.0,7.0,10.0,7.0,31.0,15.0,1.0,9.0,2.0,4.0
Camden,2013,E09000007,226.0,128.0,98.0,28.0,19.0,7.0,1.0,1.0,70.0,7.0,34.0,8.0,6.0,15.0,5.0,29.0,12.0,1.0,9.0,4.0,3.0
Camden,2014,E09000007,230.0,133.0,97.0,35.0,26.0,6.0,,2.0,62.0,4.0,29.0,6.0,5.0,10.0,7.0,29.0,14.0,1.0,8.0,3.0,3.0
Camden,2015,E09000007,237.0,137.0,98.0,30.0,23.0,2.0,1.0,3.0,68.0,8.0,25.0,4.0,7.0,10.0,3.0,35.0,18.0,2.0,7.0,5.0,3.0
Camden,2016,E09000007,246.0,136.0,110.0,33.0,27.0,4.0,1.0,2.0,76.0,7.0,29.0,7.0,6.0,12.0,4.0,40.0,18.0,4.0,8.0,6.0,5.0
Camden,2017,E09000007,250.0,142.0,109.0,34.0,27.0,4.0,1.0,2.0,75.0,10.0,26.0,5.0,7.0,9.0,5.0,38.0,12.0,1.0,11.0,6.0,9.0
Camden,2018,E09000007,256.0,146.0,108.0,36.0,29.0,4.0,2.0,,72.0,9.0,29.0,4.0,6.0,16.0,3.0,34.0,14.0,2.0,6.0,8.0,5.0
City of London,2004,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2005,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2006,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2007,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2008,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2009,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2010,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2011,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2012,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2013,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2014,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2015,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2016,E09000001,,,,,,,,,,,,,,,,,,,,,
City of London,2017,E09000001,,,,,,,,,,,,,,,,,,,,,
