Borough,Year,"Decisions made during the year per 1,000 households","Households accommodated by the authority on 31 March per 1,000 households"
Richmond upon Thames,2008,1.6408754701739328,2.562290157271603
Richmond upon Thames,2009,1.7468354430379747,2.7974683544303796
Richmond upon Thames,2010,1.927710843373494,2.8795180722891565
Richmond upon Thames,2011,3.07,3.12
Richmond upon Thames,2012,4.41,3.27
Richmond upon Thames,2013,3.418614909572122,2.903984708131157
Richmond upon Thames,2014,2.8096351107504876,2.8096351107504876
Richmond upon Thames,2015,2.76,3.0
Richmond upon Thames,2016,2.26,3.05
Richmond upon Thames,2017,2.4,3.27
Southwark,2004,14.256410256410257,8.282051282051283
Southwark,2005,8.88034188034188,9.803418803418804
Southwark,2006,6.572727272727272,11.654545454545454
Southwark,2007,5.7123506189122475,10.346394802741216
Southwark,2008,4.425116350041963,7.705806057831693
Southwark,2009,3.9661016949152543,6.3559322033898304
Southwark,2010,4.112903225806452,6.064516129032258
Southwark,2011,4.18,5.4
Southwark,2012,4.8,5.69
Southwark,2013,4.4324471101243486,6.213412345363501
Southwark,2014,6.718881075020972,7.346081175372988
Southwark,2015,6.64,10.32
Southwark,2016,6.88,13.52
Southwark,2017,3.54,17.18
Sutton,2004,3.5324675324675323,8.25974025974026
Sutton,2005,2.844155844155844,7.194805194805195
Sutton,2006,2.8289473684210527,6.2631578947368425
Sutton,2007,2.819247773434997,5.228423143461268
Sutton,2008,2.5334554074222715,3.260883197672231
Sutton,2009,1.8,2.75
Sutton,2010,1.829268292682927,3.0609756097560976
Sutton,2011,2.05,3.1
Sutton,2012,2,3.16
Sutton,2013,2.4306283852977826,2.7760984096040664
Sutton,2014,3.3624258020660105,3.398841965987303
Sutton,2015,3.69,4.91
Sutton,2016,3.74,6.32
Sutton,2017,2.69,6.64
Tower Hamlets,2004,12.78888888888889,32.75555555555555
Tower Hamlets,2005,8.766666666666667,29.466666666666665
Tower Hamlets,2006,10.285714285714286,30.238095238095237
Tower Hamlets,2007,..,..
Tower Hamlets,2008,..,27.560712051413294
Tower Hamlets,2009,7.840909090909091,21.579545454545453
Tower Hamlets,2010,5.774193548387097,19.236559139784948
Tower Hamlets,2011,4.34,19.31
Tower Hamlets,2012,3.83,17.41
Tower Hamlets,2013,5.136481003319808,17.84396901512357
Tower Hamlets,2014,4.938515039615674,17.98838418241136
