Borough,Year,All recorded offences,Burglary,Criminal Damage,Drugs,Fraud or Forgery,Mid-year estimates,Other Notifiable Offences,Robbery,Sexual Offences,Theft and Handling,Violence Against the Person
Havering,2005,95.91611965284815,10.8066434644698,15.586589717608705,2.224767610907969,6.766817921494338,226990.0,0.6784439843164897,2.0221155116965512,0.9383673289572227,38.51270981100489,18.37966430239217
Havering,2006,87.63004057879559,11.003602134988036,14.9913671460749,2.8878430135233435,5.543431581346023,228198.0,0.7449670899832601,2.4058054847106463,0.6441774248678779,33.46216881830691,15.946677884994607
Havering,2007,74.85127660592978,9.665388682661051,12.737772478230028,5.030702078863653,3.9166365665893497,229789.0,0.6353654874689388,1.3577673430843078,0.5744400297664378,27.342475053200975,13.590728886065042
Havering,2008,77.74177822453656,10.837255654829958,11.963260322788004,4.391849624449401,5.047607132225735,231793.0,0.8412678553709559,1.471140198366646,0.767926555159129,28.91372905998024,13.507741821366476
Havering,2009,73.26365604992162,11.916609361585806,9.768202727579476,4.104609891212888,2.9983726780764286,234127.0,0.8627796025234167,1.4778304082826843,0.9396609532433252,26.711998189017077,14.483592238400528
Havering,2010,74.42197143510248,9.833470203273023,9.041882201545926,4.834189828729142,3.8648120084323168,236234.0,0.9185807292769034,1.769432003860579,0.9312800020318835,27.565888060143763,15.662436397808952
Havering,2011,72.71978379923253,12.188612473573828,7.729261496173196,4.118910422104259,3.6691926515275695,237927.0,0.9624800884304848,2.097281939418393,0.8111731749654306,27.344521638990113,13.798349914049265
Havering,2012,68.6513746543029,11.491951462668887,6.386271393592037,4.742776338676778,1.8061760375083944,239733.0,1.0303128897565208,1.6726942056371046,0.7633492260139405,26.921616965540828,13.83622613490842
Havering,2013,62.48760740251157,9.893423661599472,6.064111037673497,3.8375743555849313,0.04957038995373431,242080.0,1.0409781890284204,1.1235955056179776,0.8881361533377397,25.392432253800397,14.1977858559154
Havering,2014,62.43749339361071,8.098416905851838,6.622651174514379,2.9271386406693387,0.07317846601673347,245974.0,1.3659980323123584,1.1952482782733134,1.7888069470757066,23.295145015326824,17.070909933570217
Havering,2015,67.65160487383824,7.403095328903787,6.833008812252847,3.075255434891704,0.08832326314310376,249085.0,1.5416424112250842,1.3569664973804123,1.4854366983158358,24.08816267539193,21.779713752333546
Havering,2016,58.073525513978396,6.127785491904124,6.064490096248561,2.227206734630098,0.03560366005625379,252783.0,1.2382161775119371,1.04832999054525,1.250084064197355,19.831238651333358,20.250570647551452
Hillingdon,1999,107.24618755942592,17.40847898209775,19.571276417754532,1.8200144458545704,8.406344749911243,245053.0,1.0650757183139974,1.6363807013176743,0.9140879728058828,41.27270427213705,15.151824299233224
Hillingdon,2000,108.73446084152395,16.611700981249314,20.67007982562797,1.6876024252676782,6.429155263489636,245911.0,0.9149651703258496,1.9193936017502269,0.8417679566997817,43.01149602905116,16.648299588062347
Hillingdon,2001,118.3717673115758,14.832095628949256,23.573382841508693,2.1781968601394044,10.776985212689727,245616.0,0.9812064360627972,2.6260504201680672,1.0911341280698326,42.908442446746136,19.40427333724187
Hillingdon,2002,118.24514395113798,14.445708179695055,23.050800807891108,3.1328041835483256,9.216272772531704,247063.0,1.0442680611827753,2.37995976734679,1.1171239724280848,43.6892614434375,20.168944763076624
Hillingdon,2003,118.31697936739582,12.831883380231723,26.0064340829013,2.6203971715836065,8.413490610915366,248054.0,1.0159078265216444,2.0640666951550872,1.0763785304812659,43.23655333112951,21.0518677384763
Hillingdon,2004,111.7853078720179,12.638173476322024,22.107756211523533,2.4689273033603953,6.622676333281059,248691.0,0.93690563792015,2.384485164320381,1.0776425363201725,39.74007905392636,23.808662155043805
Hillingdon,2005,112.86242691802887,12.476633655490591,21.09135743546912,5.647695183550093,4.661337151493457,251430.0,0.8710177783080778,3.4840711132323112,1.20112953903671,38.527622002147716,24.9015630593008
Hillingdon,2006,110.63458431445001,12.508500827479393,18.908198925259548,6.4743874490441735,4.033224968257026,254387.0,1.3994425815784612,3.8288120069028686,1.0024097143328865,39.243357561510614,23.236250280085066
Hillingdon,2007,102.72743899354427,13.078787925955615,16.382534117308282,7.5180655379191474,4.159840610784455,256981.0,1.0934660539106005,3.0858312482245767,0.9728345675361214,33.54722722691561,22.88885170498986
Hillingdon,2008,97.37560859755374,12.035962321538706,14.200290364718006,6.9335110763797125,4.872611098980658,261051.0,1.3139195023194699,3.0032445767302174,0.8542392099628042,30.649183492880702,23.512646954043465
Hillingdon,2009,90.96042007791769,12.052773229443094,12.165697400861989,5.872056913782395,4.298646792012497,265665.0,1.2271093294186288,2.623604915965596,1.1217134360943293,29.507085991756533,22.091732068582612
Hillingdon,2010,87.33972872172637,11.853116360195203,11.775184161208319,5.091570333809586,3.974542148330952,269465.0,1.3916464104800252,3.210064386840592,1.0724955003432728,27.877460894735865,21.09364852578257
Hillingdon,2011,86.88597780754196,13.96012326723509,9.753211445413594,5.05627969611505,3.40473105165536,275499.0,1.1216011673363606,3.4228799378582138,0.9437420825483941,29.73513515475555,19.488274004624337
Hillingdon,2012,73.24067632987408,10.977583440991497,7.740740214937746,3.605956927270404,2.175641335055864,281756.0,1.1641278269140674,2.7967461207569677,0.9795709763057396,26.515850594131088,17.2844588935107
