Year,Borough,IP,Volume
1995-12-01,Bexley,24.38075572,259
1995-12-01,Brent,17.14734339,283
1995-12-01,Bromley,22.25159948,399
1995-12-01,Camden,15.42617609,224
1995-12-01,City of London,16.23553318,18
1995-12-01,Croydon,23.68513288,444
1995-12-01,EAST MIDLANDS,29.70587558,6006
1995-12-01,EAST OF ENGLAND,24.32310036,8660
1995-12-01,Ealing,19.32660062,348
1995-12-01,Enfield,22.90365782,443
1995-12-01,England,26.08832625,69345
1995-12-01,Greenwich,20.19305318,208
1995-12-01,Hackney,14.03195671,155
1995-12-01,Hammersmith & Fulham,16.75707396,247
1995-12-01,Haringey,17.83717448,267
1995-12-01,Harrow,21.00165455,218
1995-12-01,Havering,24.03427221,238
1995-12-01,Hillingdon,22.00370771,276
1995-12-01,Hounslow,21.93086517,349
1995-12-01,Inner London,15.42490295,3468
1995-12-01,Islington,14.78049454,146
1995-12-01,Kensington & Chelsea,15.28313345,304
1995-12-01,Kingston upon Thames,19.5792438,270
1995-12-01,LONDON,18.66154471,9161
1995-12-01,Lambeth,15.22980249,296
1995-12-01,Lewisham,16.9533602,296
1995-12-01,Merton,18.74806513,252
1995-12-01,NORTH EAST,36.10799765,2859
1995-12-01,NORTH WEST,31.88299005,9225
1995-12-01,Newham,19.60256306,305
1995-12-01,Outer London,20.84801934,5693
1995-12-01,Redbridge,22.33132079,316
1995-12-01,Richmond upon Thames,18.30094239,288
1995-12-01,SOUTH EAST,24.26317798,12709
1995-12-01,SOUTH WEST,24.9350452,7406
1995-12-01,Southwark,13.9523629,283
1995-12-01,Sutton,22.82741778,318
1995-12-01,Tower Hamlets,15.71254723,156
1995-12-01,WEST MIDLANDS,30.89794198,6739
1995-12-01,Waltham Forest,18.12442046,240
1995-12-01,Wandsworth,15.97541221,452
1995-12-01,Westminster,13.65837835,319
1995-12-01,YORKS & THE HUMBER,32.64919383,6580
1996-01-01,Barking & Dagenham,23.09632275,94
1996-01-01,Barnet,19.74738993,357
1996-01-01,Bexley,24.44915871,210
1996-01-01,Brent,17.21417975,251
1996-01-01,Bromley,22.04882983,352
